com.github.tchx84.Flatseal	flathub	system
com.moonlight_stream.Moonlight	flathub	system
com.usebottles.bottles	flathub	user
dev.lizardbyte.app.Sunshine	flathub	system
net.davidotek.pupgui2	flathub	user
org.kde.gwenview	flathub	system
org.localsend.localsend_app	flathub	user
